district,crop,pattam,soil_type,irrigation_type,land_area_acres,temperature,humidity,rainfall_mm,soil_ph,soil_n,soil_p,soil_k,soil_ec,soil_organic_carbon,yield_per_acre,total_production_kg
Ranipet,Maize,Samba / Thaladi (Main Rice Season),Black Cotton Soil,Canal Irrigation,15.3,23.4,64.9,604.2,7.46,164.7,46.1,100.9,0.22,0.49,4158.09,63618.78
Theni,Tomato,Chithirai Pattam (Summer),Clay Soil,Rainfed,21.48,21.2,60.3,664.2,5.92,177.7,117.9,106.4,0.58,1.08,12549.56,269564.55
Krishnagiri,Mango,Samba / Thaladi (Main Rice Season),Alluvial,Well / Tube Well,23.12,31.0,63.0,1059.0,6.42,417.6,222.3,373.6,0.85,0.88,8077.28,186746.71
Vellore,Cashew,Navarai / Sornavari (Summer Rice & Pulses),Black Cotton Soil,Drip Irrigation,10.44,29.1,45.4,1392.9,5.69,179.0,78.6,114.9,1.59,0.43,1421.21,14837.43
Tiruchirappalli,Foxtail Millet,Aadi Pattam (Monsoon Sowing),Red Loam,Rainfed,5.45,30.1,56.2,284.6,7.36,53.0,23.1,6.8,0.34,0.47,868.15,4731.42
The Nilgiris,Maize,Kar (Early Monsoon),Clay Soil,Well / Tube Well,23.07,31.2,55.3,916.5,7.71,78.9,88.6,48.4,0.76,0.68,1560.0,35989.2
Kallakurichi,Horse Gram,Navarai / Sornavari (Summer Rice & Pulses),Sandy Soil,Well / Tube Well,15.49,23.1,57.4,530.2,6.09,26.3,26.5,10.6,0.64,0.41,378.79,5867.46
Kanniyakumari,Black Gram,Thai Pattam (Winter / Post-Monsoon),Black Cotton Soil,Drip Irrigation,13.12,31.8,62.0,630.6,6.54,24.1,43.2,11.7,1.32,1.09,541.27,7101.46
Kancheepuram,Sugarcane,Thai Pattam (Winter / Post-Monsoon),Red Loam,Sprinkler,4.3,30.2,73.5,1513.6,7.79,308.9,86.9,140.0,0.62,0.86,68310.62,293735.67
Kanniyakumari,Groundnut,Thai Pattam (Winter / Post-Monsoon),Laterite Soil,Canal Irrigation,23.37,25.9,68.0,741.2,7.41,35.3,61.1,80.9,1.74,0.8,1874.39,43804.49
Karur,Bottle Gourd,Samba / Thaladi (Main Rice Season),Sandy Soil,Drip Irrigation,17.05,28.8,56.6,504.4,7.04,41.5,32.0,20.8,0.68,0.49,11111.58,189452.44
Nagapattinam,Little Millet,Samba / Thaladi (Main Rice Season),Black Cotton Soil,Sprinkler,20.53,25.1,59.8,718.8,6.2,31.0,21.1,23.5,0.38,0.66,438.14,8995.01
Sivaganga,Carrot,Samba / Thaladi (Main Rice Season),Laterite Soil,Drip Irrigation,16.55,22.3,56.6,374.9,6.35,59.5,41.9,72.9,0.56,0.92,8805.07,145723.91
Nagapattinam,Grapes,Navarai / Sornavari (Summer Rice & Pulses),Black Cotton Soil,Drip Irrigation,13.04,23.3,82.3,488.6,7.27,244.1,157.0,297.3,0.86,0.6,16515.17,215357.82
Krishnagiri,Cashew,Purattasi Pattam (Autumn),Red Loam,Well / Tube Well,8.81,26.4,70.2,1460.5,5.8,125.2,76.0,146.1,0.97,0.51,1243.52,10955.41
Tiruppur,Coconut,Aadi Pattam (Monsoon Sowing),Clay Soil,Rainfed,8.45,23.9,54.4,1545.4,6.2,652.3,170.2,1241.0,0.94,1.09,9106.92,76953.47
Salem,French Beans,Chithirai Pattam (Summer),Laterite Soil,Canal Irrigation,17.33,24.7,65.9,659.6,5.9,44.0,80.1,56.8,0.28,0.98,5593.4,96933.62
Karur,Brinjal,Navarai / Sornavari (Summer Rice & Pulses),Black Cotton Soil,Rainfed,0.8,18.8,85.1,742.2,6.59,25.7,56.0,23.4,1.69,0.5,6055.95,4844.76
Perambalur,Cauliflower,Navarai / Sornavari (Summer Rice & Pulses),Sandy Soil,Sprinkler,12.23,11.1,77.3,696.1,6.38,110.4,42.6,188.4,1.31,0.94,7819.42,95631.51
The Nilgiris,Tomato,Kar (Early Monsoon),Red Loam,Well / Tube Well,13.22,27.2,66.6,778.1,6.41,166.5,119.3,113.4,1.74,0.85,20990.54,277494.94
Vellore,Chilli,Aadi Pattam (Monsoon Sowing),Sandy Soil,Drip Irrigation,2.27,27.7,68.2,743.0,6.66,145.0,32.0,70.5,0.21,0.84,7083.61,16079.79
Kanniyakumari,Brinjal,Purattasi Pattam (Autumn),Red Loam,Rainfed,19.7,27.5,71.5,813.5,7.08,98.3,47.2,21.0,1.66,0.81,10888.13,214496.16
Dindigul,Grapes,Chithirai Pattam (Summer),Alluvial,Sprinkler,22.34,21.8,62.9,839.9,6.07,189.2,105.2,297.9,0.94,0.83,7184.08,160492.35
Pudukkottai,Okra (Bhendi),Purattasi Pattam (Autumn),Alluvial,Canal Irrigation,12.6,27.5,71.7,722.5,7.27,115.0,42.1,36.4,1.76,0.45,8246.1,103900.86
Dharmapuri,Red Gram,Purattasi Pattam (Autumn),Alluvial,Drip Irrigation,19.97,24.4,60.9,625.9,7.15,21.0,63.2,39.7,1.29,0.75,924.95,18471.25
Ramanathapuram,Drumstick (Moringa),Thai Pattam (Winter / Post-Monsoon),Laterite Soil,Well / Tube Well,23.49,21.8,78.4,582.9,7.18,72.1,45.0,70.1,1.55,0.48,12383.9,290897.81
Tirunelveli,Cotton,Navarai / Sornavari (Summer Rice & Pulses),Clay Loam,Canal Irrigation,14.73,29.1,48.3,515.7,7.62,117.1,40.9,81.7,1.2,0.45,1007.85,14845.63
Viluppuram,French Beans,Samba / Thaladi (Main Rice Season),Clay Loam,Drip Irrigation,14.89,22.0,57.9,761.8,5.51,43.0,60.3,50.9,1.3,0.8,5234.89,77947.51
Tirupathur,Sunflower,Chithirai Pattam (Summer),Sandy Soil,Well / Tube Well,18.22,25.5,88.5,697.6,6.55,46.0,83.6,40.0,0.4,0.67,743.25,13542.01
Pudukkottai,Cucumber,Chithirai Pattam (Summer),Laterite Soil,Well / Tube Well,11.49,23.9,84.8,443.0,7.18,64.9,23.8,47.2,1.67,0.36,9743.15,111948.79
Thanjavur,French Beans,Navarai / Sornavari (Summer Rice & Pulses),Sandy Loam,Sprinkler,13.07,16.8,75.4,408.3,5.29,41.2,43.2,50.7,0.75,0.73,2332.89,30490.87
Ramanathapuram,Cotton,Chithirai Pattam (Summer),Red Loam,Well / Tube Well,22.76,32.6,74.3,930.3,6.77,117.2,64.4,73.0,1.35,0.72,1089.34,24793.38
Karur,Cashew,Kar (Early Monsoon),Sandy Loam,Well / Tube Well,23.33,26.2,64.9,1421.1,6.12,197.9,101.3,102.4,0.89,0.57,1546.76,36085.91
Tiruvallur,Tomato,Thai Pattam (Winter / Post-Monsoon),Alluvial,Sprinkler,8.87,25.0,48.0,951.0,6.9,166.0,106.4,93.9,1.48,0.41,16295.26,144538.96
Sivaganga,Guava,Samba / Thaladi (Main Rice Season),Sandy Soil,Sprinkler,20.97,26.5,91.1,1051.6,6.93,241.2,91.6,223.1,0.66,0.47,8025.87,168302.49
Tenkasi,Maize,Thai Pattam (Winter / Post-Monsoon),Sandy Loam,Canal Irrigation,8.34,26.1,97.3,582.0,6.63,101.3,50.2,64.3,0.68,0.38,3422.82,28546.32
Tenkasi,Mango,Samba / Thaladi (Main Rice Season),Black Cotton Soil,Drip Irrigation,24.36,27.5,59.3,1005.0,7.2,538.5,198.9,408.3,1.54,0.7,8632.52,210288.19
Ariyalur,Radish,Thai Pattam (Winter / Post-Monsoon),Sandy Soil,Canal Irrigation,8.66,20.6,48.0,564.7,6.92,63.8,19.7,29.2,1.11,0.84,8541.22,73966.97
Kancheepuram,Okra (Bhendi),Kar (Early Monsoon),Clay Loam,Drip Irrigation,5.55,25.9,44.8,859.8,6.38,108.9,37.7,23.1,1.01,0.68,5742.14,31868.88
Nagapattinam,Carrot,Purattasi Pattam (Autumn),Clay Loam,Sprinkler,7.21,14.8,70.5,569.8,6.29,53.4,73.6,109.9,1.41,0.46,13705.33,98815.43
Tiruppur,Carrot,Samba / Thaladi (Main Rice Season),Sandy Loam,Drip Irrigation,21.87,16.1,82.6,465.0,6.35,38.0,31.6,92.4,1.19,1.04,8846.69,193477.11
Theni,Drumstick (Moringa),Navarai / Sornavari (Summer Rice & Pulses),Sandy Loam,Sprinkler,14.11,27.7,71.4,697.7,6.54,44.5,47.8,62.0,1.6,0.79,10650.51,150278.7
Salem,Grapes,Kar (Early Monsoon),Clay Loam,Drip Irrigation,12.63,27.9,55.6,790.9,6.79,167.8,105.5,322.0,0.68,0.96,17175.2,216922.78
Tirupathur,Groundnut,Purattasi Pattam (Autumn),Alluvial,Canal Irrigation,21.14,31.0,76.4,608.4,6.49,17.7,56.6,44.7,0.76,0.5,1187.42,25102.06
Chennai,Papaya,Chithirai Pattam (Summer),Red Loam,Well / Tube Well,1.85,28.8,77.9,1347.4,6.2,126.3,188.4,185.3,0.96,0.44,30490.08,56406.65
Dharmapuri,Horse Gram,Aadi Pattam (Monsoon Sowing),Clay Loam,Well / Tube Well,5.33,22.6,70.2,487.2,6.75,24.2,46.9,45.9,1.77,0.95,625.58,3334.34
Tirunelveli,Tomato,Thai Pattam (Winter / Post-Monsoon),Clay Loam,Well / Tube Well,18.07,28.3,77.0,649.5,6.59,164.7,140.3,110.8,0.57,1.09,18782.96,339408.09
Coimbatore,Foxtail Millet,Purattasi Pattam (Autumn),Sandy Loam,Rainfed,11.33,22.9,74.2,391.5,6.34,51.6,28.5,34.3,0.57,0.64,1257.24,14244.53
Thanjavur,Pumpkin,Aadi Pattam (Monsoon Sowing),Black Cotton Soil,Canal Irrigation,10.27,26.9,82.4,862.6,6.07,59.5,72.5,71.5,0.43,0.63,11587.16,119000.13
Thanjavur,Tapioca (Cassava),Aadi Pattam (Monsoon Sowing),Sandy Loam,Rainfed,22.28,29.1,55.0,1064.5,7.24,65.4,55.4,109.4,0.84,0.41,14884.87,331634.9
Tiruppur,Groundnut,Aadi Pattam (Monsoon Sowing),Red Loam,Sprinkler,16.51,26.6,94.1,725.3,6.92,30.1,48.7,62.9,0.76,0.91,1279.38,21122.56
Thanjavur,Kodo Millet,Samba / Thaladi (Main Rice Season),Sandy Soil,Sprinkler,3.3,29.6,59.5,326.0,6.42,45.9,16.2,29.8,1.66,0.45,640.01,2112.03
Tenkasi,Coconut,Kar (Early Monsoon),Red Loam,Canal Irrigation,14.34,28.4,64.1,1864.6,6.0,592.4,470.4,1192.5,0.26,0.46,12311.73,176550.21
Tiruvallur,Green Peas,Samba / Thaladi (Main Rice Season),Sandy Loam,Drip Irrigation,22.76,12.6,61.3,470.7,6.99,32.7,54.0,56.0,0.25,1.09,3970.78,90374.95
Tenkasi,Black Gram,Navarai / Sornavari (Summer Rice & Pulses),Clay Loam,Drip Irrigation,15.35,33.1,53.6,394.5,6.63,33.9,66.4,5.3,0.62,0.51,600.73,9221.21
Viluppuram,Sunflower,Thai Pattam (Winter / Post-Monsoon),Laterite Soil,Canal Irrigation,8.54,33.1,93.2,615.1,7.84,58.2,103.2,43.6,0.93,0.78,916.36,7825.71
Kallakurichi,Banana,Purattasi Pattam (Autumn),Sandy Loam,Drip Irrigation,11.06,26.0,70.4,1593.3,6.11,207.7,45.3,318.7,1.02,0.57,20494.78,226672.27
Ariyalur,Bottle Gourd,Thai Pattam (Winter / Post-Monsoon),Clay Loam,Well / Tube Well,11.86,29.0,55.2,563.9,6.82,50.5,37.2,66.6,0.83,0.94,16281.42,193097.64
Thanjavur,Black Pepper,Chithirai Pattam (Summer),Clay Loam,Drip Irrigation,2.12,24.7,71.1,2298.6,5.38,90.8,44.6,170.3,1.14,0.57,1563.54,3314.7
Vellore,Black Gram,Purattasi Pattam (Autumn),Clay Loam,Canal Irrigation,14.47,29.7,85.5,455.9,6.88,17.3,52.8,17.5,0.71,1.02,529.46,7661.29
Salem,Tapioca (Cassava),Kar (Early Monsoon),Black Cotton Soil,Well / Tube Well,1.05,29.2,67.2,1090.9,6.5,51.6,49.5,110.9,1.11,0.51,18797.79,19737.68
Tiruchirappalli,Bengal Gram,Thai Pattam (Winter / Post-Monsoon),Red Loam,Well / Tube Well,8.78,17.0,48.9,341.5,7.48,17.3,30.4,19.9,1.16,0.63,517.28,4541.72
Cuddalore,Coconut,Thai Pattam (Winter / Post-Monsoon),Red Loam,Rainfed,2.18,29.7,64.6,1739.7,6.66,632.5,312.8,1192.0,0.94,0.88,9689.58,21123.28
Perambalur,French Beans,Samba / Thaladi (Main Rice Season),Black Cotton Soil,Rainfed,4.79,23.2,67.4,462.7,6.74,60.6,80.2,64.0,0.45,0.77,4823.89,23106.43
Sivaganga,Kodo Millet,Samba / Thaladi (Main Rice Season),Laterite Soil,Drip Irrigation,6.79,29.6,83.1,446.5,6.73,22.0,21.1,43.6,0.38,0.61,945.71,6421.37
Tiruchirappalli,Cotton,Chithirai Pattam (Summer),Clay Loam,Rainfed,19.18,37.1,61.9,675.1,7.93,138.9,62.8,71.3,1.04,0.76,1384.84,26561.23
Chennai,Barnyard Millet,Samba / Thaladi (Main Rice Season),Red Loam,Rainfed,0.8,25.3,91.3,267.5,5.89,39.5,13.4,25.8,1.26,0.5,653.98,523.18
Coimbatore,Chilli,Thai Pattam (Winter / Post-Monsoon),Clay Loam,Rainfed,21.91,26.6,73.2,976.0,6.76,139.8,52.6,55.8,1.68,0.76,4100.42,89840.2
Vellore,Red Gram,Navarai / Sornavari (Summer Rice & Pulses),Sandy Loam,Well / Tube Well,11.68,30.8,77.6,775.1,7.89,25.3,45.9,33.2,0.98,0.82,869.4,10154.59
Kanniyakumari,Grapes,Navarai / Sornavari (Summer Rice & Pulses),Black Cotton Soil,Sprinkler,11.35,22.6,73.3,613.5,6.63,112.8,94.6,311.0,0.89,0.43,11498.69,130510.13
Virudhunagar,Chilli,Navarai / Sornavari (Summer Rice & Pulses),Sandy Soil,Well / Tube Well,10.48,27.0,72.9,731.5,7.16,141.8,38.7,37.9,1.36,0.67,5825.88,61055.22
Dindigul,Onion,Purattasi Pattam (Autumn),Clay Soil,Well / Tube Well,24.23,21.0,83.8,750.7,7.28,58.1,67.0,57.8,1.75,0.69,5195.59,125889.15
Kancheepuram,Cauliflower,Chithirai Pattam (Summer),Clay Loam,Sprinkler,13.57,18.6,40.4,851.2,6.21,137.2,156.9,90.4,1.48,1.07,10636.65,144339.34
Salem,Chilli,Samba / Thaladi (Main Rice Season),Clay Soil,Drip Irrigation,7.87,28.1,60.5,883.9,6.02,150.6,77.3,55.8,1.15,0.63,8194.4,64489.93
Viluppuram,Jasmine (Mullai / Madurai Malli),Chithirai Pattam (Summer),Sandy Loam,Canal Irrigation,12.62,22.3,81.6,1123.9,6.57,150.4,106.6,233.5,1.16,0.57,4464.23,56338.58
Tirupathur,Black Pepper,Purattasi Pattam (Autumn),Laterite Soil,Well / Tube Well,13.82,19.4,68.7,2237.7,6.11,146.1,45.0,197.6,0.76,0.49,1824.13,25209.48
Nagapattinam,Turmeric,Thai Pattam (Winter / Post-Monsoon),Sandy Loam,Well / Tube Well,5.74,24.7,67.1,1214.8,6.42,146.4,57.8,158.1,1.19,1.1,13260.64,76116.07
Dindigul,Bengal Gram,Chithirai Pattam (Summer),Clay Soil,Sprinkler,19.76,24.1,82.0,351.4,7.22,16.7,30.9,5.0,1.5,1.09,510.82,10093.8
Theni,Coconut,Aadi Pattam (Monsoon Sowing),Sandy Soil,Rainfed,5.6,32.6,64.1,1848.8,5.89,683.1,244.4,1180.6,0.61,0.88,9484.75,53114.6
Perambalur,Carrot,Purattasi Pattam (Autumn),Red Loam,Canal Irrigation,5.53,19.7,78.0,731.0,5.86,48.1,55.6,50.0,0.87,0.69,8933.1,49400.04
Thanjavur,Green Gram,Chithirai Pattam (Summer),Black Cotton Soil,Sprinkler,10.18,29.5,71.4,379.8,7.17,23.0,68.7,45.6,0.3,0.52,439.91,4478.28
Madurai,Red Gram,Navarai / Sornavari (Summer Rice & Pulses),Black Cotton Soil,Well / Tube Well,15.23,29.4,87.8,505.8,7.47,27.2,40.5,5.0,0.99,0.48,568.42,8657.04
Tirunelveli,Radish,Chithirai Pattam (Summer),Clay Loam,Well / Tube Well,6.61,24.1,76.2,515.4,6.52,48.3,25.5,17.9,1.26,1.07,8285.7,54768.48
Tiruvallur,Jasmine (Mullai / Madurai Malli),Samba / Thaladi (Main Rice Season),Alluvial,Rainfed,1.05,28.2,70.3,878.2,7.04,121.3,128.4,234.1,0.96,0.65,3193.15,3352.81
Dharmapuri,Paddy,Samba / Thaladi (Main Rice Season),Red Loam,Well / Tube Well,15.34,25.4,89.6,1117.5,6.76,116.4,39.2,48.1,0.88,0.47,3223.86,49454.01
Vellore,Paddy,Chithirai Pattam (Summer),Laterite Soil,Rainfed,23.67,27.8,47.5,1182.6,6.05,113.6,52.9,103.8,1.09,0.43,3106.68,73535.12
Tiruchirappalli,Black Pepper,Kar (Early Monsoon),Sandy Soil,Sprinkler,22.14,23.1,65.6,2293.9,5.96,128.3,57.7,81.0,1.77,0.78,1231.2,27258.77
Erode,Banana,Aadi Pattam (Monsoon Sowing),Alluvial,Rainfed,14.23,25.3,61.4,1734.6,6.85,220.1,26.9,272.0,1.47,0.75,23106.93,328811.61
Tirunelveli,Foxtail Millet,Kar (Early Monsoon),Black Cotton Soil,Canal Irrigation,5.59,26.6,71.0,627.5,7.5,53.2,18.4,5.0,0.91,0.86,806.49,4508.28
Nagapattinam,Cauliflower,Aadi Pattam (Monsoon Sowing),Sandy Soil,Rainfed,14.0,17.5,64.1,629.8,5.92,168.4,81.7,103.6,0.84,0.44,9606.96,134497.44
Perambalur,Carrot,Thai Pattam (Winter / Post-Monsoon),Clay Loam,Well / Tube Well,1.01,20.8,55.7,635.9,6.55,66.0,60.2,45.2,1.36,0.61,13710.98,13848.09
Tiruvarur,Pumpkin,Aadi Pattam (Monsoon Sowing),Laterite Soil,Sprinkler,4.63,32.4,49.3,666.3,6.03,46.5,32.6,19.8,0.83,0.67,7738.16,35827.68
Pudukkottai,Onion,Purattasi Pattam (Autumn),Sandy Soil,Drip Irrigation,17.01,22.7,66.1,561.3,6.96,40.9,84.3,82.2,1.79,0.98,8026.38,136528.72
Theni,Carrot,Kar (Early Monsoon),Red Loam,Canal Irrigation,19.71,18.2,70.0,583.5,6.67,43.3,46.4,74.0,1.38,0.5,11829.31,233155.7
Madurai,Black Pepper,Kar (Early Monsoon),Alluvial,Rainfed,5.83,22.9,64.4,2289.1,4.98,96.4,45.8,164.3,1.42,1.08,849.75,4954.04
Tenkasi,Muskmelon,Aadi Pattam (Monsoon Sowing),Black Cotton Soil,Canal Irrigation,10.91,31.0,61.3,583.0,7.3,22.8,22.8,18.9,1.33,0.69,6047.17,65974.62
Dharmapuri,Cucumber,Thai Pattam (Winter / Post-Monsoon),Alluvial,Drip Irrigation,0.6,26.1,79.3,662.9,6.39,58.8,23.4,50.9,0.57,0.52,6909.4,4145.64
Tiruppur,Banana,Navarai / Sornavari (Summer Rice & Pulses),Clay Loam,Sprinkler,23.84,35.7,88.7,1765.9,7.34,160.2,10.0,281.3,0.44,0.66,21707.72,517512.04
Dindigul,Turmeric,Thai Pattam (Winter / Post-Monsoon),Alluvial,Sprinkler,4.92,21.8,65.7,1533.4,7.78,101.8,68.8,163.6,1.61,0.4,6959.68,34241.63
Theni,Green Peas,Kar (Early Monsoon),Clay Loam,Drip Irrigation,15.37,17.4,76.9,591.9,7.32,24.3,68.0,19.5,1.0,1.05,3388.93,52087.85
Nagapattinam,Sorghum,Thai Pattam (Winter / Post-Monsoon),Laterite Soil,Canal Irrigation,23.16,27.1,76.1,551.6,7.11,89.1,27.3,53.2,1.38,0.39,1786.29,41370.48
Mayiladuthurai,Horse Gram,Kar (Early Monsoon),Clay Loam,Well / Tube Well,1.12,23.2,55.6,100.0,6.38,22.8,29.7,21.3,0.81,0.87,303.23,339.62
Dindigul,Bengal Gram,Thai Pattam (Winter / Post-Monsoon),Laterite Soil,Rainfed,19.75,25.5,62.1,359.8,8.33,20.8,36.6,17.4,1.35,0.61,596.22,11775.35
Kancheepuram,Jasmine (Mullai / Madurai Malli),Aadi Pattam (Monsoon Sowing),Sandy Loam,Rainfed,14.36,24.0,82.6,861.1,6.9,112.6,276.5,243.0,1.75,1.01,3796.45,54517.02
Tiruvarur,Amla (Indian Gooseberry),Navarai / Sornavari (Summer Rice & Pulses),Alluvial,Well / Tube Well,23.06,29.6,82.7,528.6,7.98,223.3,228.9,172.4,1.49,0.96,11801.53,272143.28
Chennai,Black Gram,Thai Pattam (Winter / Post-Monsoon),Alluvial,Canal Irrigation,18.75,31.2,62.9,616.9,7.38,24.4,62.6,32.0,0.9,1.1,729.06,13669.87
Erode,Cabbage,Samba / Thaladi (Main Rice Season),Sandy Soil,Rainfed,23.28,16.1,54.5,592.2,7.07,217.6,80.7,131.4,0.41,1.06,14453.89,336486.56
Mayiladuthurai,Ginger,Thai Pattam (Winter / Post-Monsoon),Clay Soil,Canal Irrigation,13.7,25.5,58.1,1617.7,6.2,56.6,68.7,5.0,0.23,0.98,8104.16,111026.99
Vellore,Green Gram,Purattasi Pattam (Autumn),Red Loam,Rainfed,18.22,30.3,44.9,365.0,8.02,28.7,47.0,37.7,1.67,0.61,338.9,6174.76
Thanjavur,Cabbage,Purattasi Pattam (Autumn),Clay Loam,Rainfed,15.77,16.1,64.8,613.5,6.32,133.3,120.0,120.0,1.79,0.93,18771.88,296032.55
Pudukkottai,Snake Gourd,Thai Pattam (Winter / Post-Monsoon),Sandy Loam,Canal Irrigation,21.52,26.3,44.3,704.0,6.72,72.9,28.4,46.3,1.65,0.74,12123.37,260894.92
Tiruchirappalli,Cashew,Thai Pattam (Winter / Post-Monsoon),Sandy Soil,Rainfed,24.9,28.0,59.6,1505.6,5.88,203.0,103.2,127.5,1.14,0.82,1376.09,34264.64
The Nilgiris,Pearl Millet,Samba / Thaladi (Main Rice Season),Sandy Loam,Well / Tube Well,5.76,30.9,88.4,660.9,8.14,103.7,47.3,73.8,1.78,1.06,1046.17,6025.94
Tirunelveli,Finger Millet,Chithirai Pattam (Summer),Clay Loam,Drip Irrigation,14.63,24.2,59.6,525.1,6.15,37.1,30.2,5.5,0.55,1.07,1369.07,20029.49
Pudukkottai,Jasmine (Mullai / Madurai Malli),Samba / Thaladi (Main Rice Season),Black Cotton Soil,Sprinkler,13.72,20.0,61.0,757.0,7.54,86.3,374.6,257.3,1.05,0.37,2808.55,38533.31
Coimbatore,Beetroot,Kar (Early Monsoon),Red Loam,Rainfed,16.0,18.6,56.5,528.7,6.86,51.8,69.9,66.2,1.33,0.91,9868.56,157896.96
Tiruppur,Sugarcane,Aadi Pattam (Monsoon Sowing),Sandy Loam,Well / Tube Well,24.61,28.5,40.2,1553.3,7.01,271.1,71.5,126.8,0.87,0.81,66755.15,1642844.24
Dindigul,Cauliflower,Navarai / Sornavari (Summer Rice & Pulses),Red Loam,Canal Irrigation,3.47,18.1,65.3,642.2,6.75,148.8,119.5,148.6,0.46,0.42,18242.33,63300.89
Tiruvannamalai,Sugarcane,Aadi Pattam (Monsoon Sowing),Black Cotton Soil,Sprinkler,15.26,27.5,69.8,1376.5,7.35,139.4,88.5,126.5,1.08,0.62,55471.42,846493.87
Thoothukudi,Gingelly (Sesame),Thai Pattam (Winter / Post-Monsoon),Alluvial,Canal Irrigation,19.35,32.0,72.5,480.5,6.69,24.8,15.6,80.0,0.97,0.47,402.89,7795.92
Tiruchirappalli,Green Peas,Navarai / Sornavari (Summer Rice & Pulses),Sandy Loam,Drip Irrigation,21.38,11.9,83.6,738.9,7.25,19.2,79.8,13.2,1.67,0.6,2714.21,58029.81
Karur,Horse Gram,Chithirai Pattam (Summer),Clay Loam,Drip Irrigation,20.53,26.4,70.0,464.0,6.26,28.6,57.1,38.9,1.16,0.83,670.76,13770.7
Perambalur,Cowpea,Chithirai Pattam (Summer),Clay Loam,Canal Irrigation,18.21,33.8,52.7,701.8,7.75,19.0,44.3,5.0,1.56,0.7,282.13,5137.59
Theni,Pumpkin,Purattasi Pattam (Autumn),Black Cotton Soil,Sprinkler,22.67,32.1,70.6,653.7,6.39,70.6,26.0,41.7,1.54,0.47,10715.59,242922.43
Salem,Pearl Millet,Navarai / Sornavari (Summer Rice & Pulses),Black Cotton Soil,Rainfed,1.42,31.3,49.8,480.6,7.65,58.4,59.1,49.4,0.27,0.85,1458.74,2071.41
Ariyalur,Brinjal,Purattasi Pattam (Autumn),Clay Soil,Well / Tube Well,14.58,25.1,83.9,717.2,6.11,99.8,50.2,41.4,1.6,0.76,15384.7,224308.93
Mayiladuthurai,Radish,Chithirai Pattam (Summer),Laterite Soil,Rainfed,24.47,24.1,98.0,407.7,6.76,63.0,31.5,5.0,0.91,0.59,8286.14,202761.85
Cuddalore,Coconut,Aadi Pattam (Monsoon Sowing),Clay Loam,Canal Irrigation,22.16,25.1,71.3,1689.1,6.73,449.4,157.4,1240.6,0.84,0.85,9230.89,204556.52
Kancheepuram,Cabbage,Kar (Early Monsoon),Red Loam,Canal Irrigation,9.36,20.8,75.6,708.4,5.82,91.4,115.8,70.8,0.46,0.36,11181.48,104658.65
Salem,Barnyard Millet,Chithirai Pattam (Summer),Clay Soil,Rainfed,23.6,29.7,64.2,610.2,6.01,50.5,18.8,5.0,0.34,0.61,579.81,13683.52
The Nilgiris,Barnyard Millet,Navarai / Sornavari (Summer Rice & Pulses),Alluvial,Well / Tube Well,5.54,29.0,67.9,495.2,6.48,40.2,19.1,5.0,1.25,0.56,972.07,5385.27
Chennai,Bitter Gourd,Aadi Pattam (Monsoon Sowing),Sandy Loam,Rainfed,4.1,28.6,58.7,770.0,6.31,67.1,33.3,22.7,1.6,0.56,5343.77,21909.46
Kallakurichi,Pomegranate,Thai Pattam (Winter / Post-Monsoon),Clay Soil,Rainfed,2.44,32.7,78.0,708.0,7.01,364.5,134.8,266.2,1.0,1.03,7964.52,19433.43
Namakkal,Cabbage,Navarai / Sornavari (Summer Rice & Pulses),Sandy Loam,Drip Irrigation,3.15,19.1,58.7,667.9,6.66,162.3,91.2,116.8,0.81,0.51,20962.82,66032.88
Dindigul,Cucumber,Chithirai Pattam (Summer),Alluvial,Sprinkler,8.94,24.1,80.0,544.3,6.03,64.3,24.4,28.6,1.29,0.82,7877.27,70422.79
Madurai,Red Gram,Aadi Pattam (Monsoon Sowing),Alluvial,Drip Irrigation,22.63,26.5,57.1,790.9,7.47,29.6,42.9,28.3,1.67,0.99,924.8,20928.22
Dharmapuri,Barnyard Millet,Aadi Pattam (Monsoon Sowing),Laterite Soil,Drip Irrigation,9.55,26.1,64.3,328.8,6.45,40.3,21.5,33.5,0.69,0.49,1149.22,10975.05
The Nilgiris,Black Gram,Chithirai Pattam (Summer),Black Cotton Soil,Canal Irrigation,13.39,29.1,70.8,621.7,7.23,23.4,36.8,20.6,1.36,0.77,559.77,7495.32
Madurai,Amla (Indian Gooseberry),Purattasi Pattam (Autumn),Laterite Soil,Well / Tube Well,1.98,26.0,79.7,1101.5,7.73,226.5,153.7,196.1,0.34,0.7,7656.77,15160.4
Perambalur,Little Millet,Thai Pattam (Winter / Post-Monsoon),Clay Soil,Canal Irrigation,21.54,28.3,71.0,329.8,6.55,39.3,21.9,23.9,1.72,1.05,684.94,14753.61
Madurai,Onion,Thai Pattam (Winter / Post-Monsoon),Sandy Loam,Well / Tube Well,14.08,25.4,66.0,565.8,6.62,68.8,69.6,44.5,0.96,0.9,8982.96,126480.08
Kanniyakumari,Pumpkin,Purattasi Pattam (Autumn),Laterite Soil,Well / Tube Well,12.92,25.4,54.5,836.4,7.01,62.6,59.6,40.7,1.33,0.87,10919.66,141082.01
Thanjavur,Horse Gram,Purattasi Pattam (Autumn),Sandy Soil,Sprinkler,15.47,25.8,41.7,525.3,6.43,26.3,42.4,98.1,0.26,1.08,475.72,7359.39
